dataset,model,condition,bias,split,seed,rmse,mae,r2,pearson_r,train_model_type,train_n_train
solubility,lgbm_morgan,unbiased,unbiased,random,42,1.295838183493971,0.950020857837717,0.6707942055127714,0.8190706371363374,fingerprint,7672
solubility,lgbm_morgan,unbiased,unbiased,random,123,1.2302965454915586,0.9060193135646949,0.7122685062746992,0.844368244698788,fingerprint,7672
solubility,lgbm_morgan,unbiased,unbiased,random,7,1.2798095803794434,0.9420768211853514,0.6990331884778918,0.8364678544379185,fingerprint,7672
solubility,lgbm_descriptors,unbiased,unbiased,random,42,1.0994091760914784,0.7515377321782039,0.7630347626190959,0.8736460532227612,fingerprint,7672
solubility,lgbm_descriptors,unbiased,unbiased,random,123,1.103050435563617,0.7731493878809163,0.7687091074454129,0.8768865029171815,fingerprint,7672
solubility,lgbm_descriptors,unbiased,unbiased,random,7,1.1001052009459114,0.7628638506935236,0.7776196910010027,0.8819306801755464,fingerprint,7672
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,42,1.8527709122949603,1.4288588828744784,0.3666226307423891,0.6514317457839981,fingerprint,7672
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,123,1.8591494948506806,1.445378816950674,0.28308820759624,0.6047507979930158,fingerprint,7672
solubility,lgbm_morgan,unbiased_scaffold,unbiased,scaffold,7,1.828217738053074,1.4012893284265557,0.323694470911826,0.6196266319924986,fingerprint,7672
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,42,1.5518090439081154,1.141677379579106,0.5556802159569826,0.7519348423241045,fingerprint,7672
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,123,1.4807110475154126,1.0876642240048713,0.5452447395670199,0.747294724165882,fingerprint,7672
solubility,lgbm_descriptors,unbiased_scaffold,unbiased,scaffold,7,1.5662458126278809,1.1390140357795078,0.5036283749812227,0.7221795935001063,fingerprint,7672
solubility,lgbm_morgan,scaffold_top10,scaffold,random,42,1.1212979939924648,0.736927696586513,0.7676899948407819,0.8764286946304252,fingerprint,2170
solubility,lgbm_morgan,scaffold_top10,scaffold,random,123,0.9155149578569958,0.6803623715299638,0.8253318831325868,0.909746225271119,fingerprint,2170
solubility,lgbm_morgan,scaffold_top10,scaffold,random,7,0.9473365952754219,0.6728782126736106,0.845408495692539,0.9214628703802419,fingerprint,2170
